Time,TimeMS,Clock,Pulse,Pulse_low,Pulse_high,SpO2,SpO2_low,SpO2_high,Respiratory_rate,Respiratory_rate_low,Respiratory_rate_high,BloodPressure_Sys,BloodPressure_Sys_low,BloodPressure_Sys_high,Temp,Temp_low,Temp_high,,,,,,,,,,,,,,,,,,,,,,,,,
00:09:50_460,590460,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.845,0.41441,38.7,,,2.22281,-0.33885,-59.8,,,,0,0
00:09:50_470,590470,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.13,0.41123,38.7,,,2.24686,-0.44547,-59.8,,,,0,0
00:09:50_480,590480,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.4044,38.7,,,2.26487,-0.46458,-59.9,,,,0,0
00:09:50_490,590490,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.11,0.40073,38.7,,,2.24178,-0.47558,-60,,,,0,0
00:09:50_500,590500,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.39707,38.7,,,2.21353,-0.43035,-60.1,,,,0,0
00:09:50_510,590510,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.39316,38.7,,,2.19557,-0.35431,-60.1,,,,0,0
00:09:50_520,590520,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.38926,38.8,,,2.16248,-0.25908,-60.2,,,,0,0
00:09:50_530,590530,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.38046,38.8,,,2.14575,-0.15902,-60.2,,,,0,0
00:09:50_540,590540,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.12,0.37582,38.8,,,2.15419,-0.08153,-60.2,,,,0,0
00:09:50_550,590550,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.37118,38.8,,,2.11986,-0.02217,-60.2,,,,0,0
